Identité;*Analyse;*Code MSSS;Libellé répertoire MSSS;*Gr. Risque;*SYNONYME(S);*Renseignement important;*SECTEUR;TEMPS RÉPONSE (JOURS OUVRABLES*);*PRÉLÈVEMENT SPÉCIMEN;TEST;*Titre d'analyse;Plan d'analyses;Code du Groupe d'analyses;*NOM DU GROUPE D'ANALYSES;COMMENTAIRE;Catégorie d'envoi TMD;
11;Bacillus anthracis: détection (TAAN) sur spécimen primaire;82001;Bacillus anthracis  détection (TAAN) sur spécimen primaire;;Anthrax, maladie du charbon, bacille du charbon, bactéridie charbonneuse, bacille de Davaine;Pour de plus amples renseignements, veuillez vous référer au guide des services (https://www.inspq.qc.ca/lspq/repertoire-des-analyses).;Bactériologie;;Sang total (volume minimum requis 0,5 ml), Liquide céphalo-rachidien (LCR) (volume minimum requis 0,5 mL) ou colis suspect;Identification conventionnelle (tests biochimiques),TAAN en temps réel, lyse au phage;Identification;Humain;GR3;GR3;N/A;Catégorie B;
12;Bacillus anthracis: identification (TAAN, bactériophage) sur culture *GR3*;82002;Bacillus anthracis  identification (TAAN, bactériophage) sur culture *GR3*;GR3;Anthrax, maladie du charbon, bacille du charbon, bactéridie charbonneuse, bacille de Davaine;Pour de plus amples renseignements, veuillez vous référer au guide des services (https://www.inspq.qc.ca/lspq/repertoire-des-analyses).;Bactériologie;2 à 5 jours ouvrables;Souche - Culture;Identification conventionnelle (tests biochimiques),TAAN en temps réel, lyse au phage;Identification;Humain;GR3;GR3;N/A;Catégorie A;
13;Bartonella spp.: détection (TAAN) sur spécimen clinique;82029;Bartonella spp.  détection (TAAN) sur spécimen clinique;;Maladie griffe du chat, Rochalinea, bartonellose, B. henselae, B. quintana, fièvre des tranchées;Lien vers guide de service du LNM : (https://rcrsp.canada.ca/gts/tests-diagnostisques-de-reference/4224?labId=1019);Sérologie;Délai du LNM (21 jours) + 6 jours ouvrables;Sang total, aspirat de liquide d'une plaie, d'un échantillon de pus, d'un liquide corporel et/ou d'un tissu provenant de nœuds lymphatiques, d'une biopsie de valvule cardique ou de liquide synovial. Volume minimum de 1mL. De préférence, congeler tous les échantillons immédiatement après le prélèvement.;TAAN;Bartonella  - Recherche d'acides nucléiques;Humain;BART;Bartonella PCR;Envoi au LNM.;Catégorie B;
14;Bâtonnet Gram négatif fermentaire (entérique): antibiogramme (microdilution en bouillon, epsilométrie);81002;Bâtonnet Gram négatif fermentaire (entérique) antibiogramme (microdilution en bouillon, epsilométrie);;Entérobactéries;Pour de plus amples renseignements, veuillez vous référer au guide des services (https://www.inspq.qc.ca/lspq/repertoire-des-analyses).;Marqueurs épidémiologiques;;Souche - Culture;CMI - microdilution, diffusion en gélose;Antibiogramme;Humain;MA1;1. B-/Carba/Entérobac;SVP spécifier les antibiotiques désirés dans Autres données pertinentes.;Catégorie B;
15;Bâtonnet Gram négatif fermentaire (entérique): identification (phénotypie, séquençage);81001;Bâtonnet Gram négatif fermentaire (entérique)  identification (phénotypie, séquençage);;Entérobactéries;Pour de plus amples renseignements, veuillez vous référer au guide des services (https://www.inspq.qc.ca/lspq/repertoire-des-analyses).;Bactériologie;5 à 15 jours ouvrables;Souche - Culture;Identification conventionnelle (tests biochimiques);Identification;Humain;ENT;Entéro;N/A;Catégorie B;
16;Bâtonnet Gram négatif non fermentaire (BNF): antibiogramme (microdilution en bouillon, epsilométrie);81004;Bâtonnet Gram négatif non fermentaire (BNF) antibiogramme (microdilution en bouillon, epsilométrie);;BNF, Bâtonnet Gram négatif non-fermentaire;"Selon le genre, peut-être effectué en collaboration avec le LNM.
Justification requise si le site est non stérile pour les bâtonnets à Gram négatif non entériques. Pour de plus amples renseignements, veuillez vous référer au guide des services (https://www.inspq.qc.ca/lspq/repertoire-des-analyses).";Marqueurs épidémiologiques;10 à 20 jours ouvrables;Souche - Culture;CMI - microdilution;Antibiogramme;Humain;MA1;1. B-/Carba/Entérobac;SVP préciser l'antibiogramme désiré dans Autres données pertinentes.;Catégorie B;
17;Bâtonnet Gram négatif non fermentaire (BNF): identification (spectrométrie de masse - MALDI-TOF, séquençage);81003;Bâtonnet Gram négatif non fermentaire (BNF) identification (spectrométrie de masse - MALDI-TOF, séquençage);;BNF, Bâtonnet Gram négatif non-fermentaire;Justification requise si le site est non stérile pour les bâtonnets à Gram négatif non entériques. Pour de plus amples renseignements, veuillez vous référer au guide des services (https://www.inspq.qc.ca/lspq/repertoire-des-analyses).;Bactériologie;5 à 15 jours ouvrables;Souche - Culture;TAAN - Séquençage;Identification;Humain;ID;1-Routine;Justification requise si le site est non stérile pour les bâtonnets à Gram négatif non entériques.;Catégorie B;
18;Bâtonnet Gram négatif producteur de carbapénémase (BGNPC): analyse des souches discordantes (TAAN);81005;Bâtonnet Gram négatif producteur de carbapénémase (BGNPC)  analyse des souches discordantes (TAAN);;KPC, CRO, EPC, CPE;"Cette analyse est réservée aux laboratoires désignés pour le TAAN carbapénèmases.
Une souche dont la CMI méropénème est ≥ 0,25 mg/L (Kirby-Bauer ≤ 24 mm) doit être référée au LSPQ pour la recherche des gènes de carbapénèmases par TAAN.
En plus de votre valeur de méropénème, veuillez nous indiquer, dans le champ ""Autres données pertinentes"", vos résultats de TIC (technique d'inactivation des carbapénèmes) ou d'autres méthodes phénotypiques lorsque disponibles.
Le formulaire suivant doit être complété et acheminé avec l'échantillon: (https://www.inspq.qc.ca/sites/default/files/lspq/formulaire-carba-lspq.pdf).";Marqueurs épidémiologiques;10 à 15 jours ouvrables;Souche - Culture;Recherche gènes de carbapénèmases par TAAN, CMI - microdilution,  TIC - technique d'inactivation des carbapénèmes;Confirmation;Humain;MA1;1. B-/Carba/Entérobac;Compléter le formulaire TAAN Cabapénémases du LSPQ.;Catégorie B;
19;Bâtonnet Gram négatif producteur de carbapénémase (BGNPC): programme de surveillance;81006;Bâtonnet Gram négatif producteur de carbapénémase (BGNPC)  programme de surveillance;;KPC, CRO, EPC, CPE, surveillance;"Cette analyse est réservée aux laboratoires désignés pour le TAAN carbapénèmases.
Le formulaire suivant doit être complété et acheminé avec l'échantillon: (https://www.inspq.qc.ca/sites/default/files/lspq/formulaire-carba-lspq.pdf
).
Pour de plus amples renseignements, veuillez vous référer au guide des services (https://www.inspq.qc.ca/lspq/repertoire-des-analyses).";Marqueurs épidémiologiques;N/A;Souche - Culture;Conservation des souches;Programme de surveillance;Humain;MA1;1. B-/Carba/Entérobac;Compléter le formulaire TAAN Cabapénémases du LSPQ.;Catégorie B;
20;Bâtonnet Gram positif (autre qu'anaérobie): antibiogramme (microdilution en bouillon);81011;Bâtonnet Gram positif (autre qu'anaérobie)  antibiogramme (microdilution en bouillon);;Bâtonnets à gram positif;Pour de plus amples renseignements, veuillez vous référer au guide des services (https://www.inspq.qc.ca/lspq/repertoire-des-analyses).;Bactériologie;5 à 15 jours ouvrables;Souche - Culture;CMI - microdilution;Antibiogramme;Humain;ID;1-Routine;N/A;Catégorie B;
21;Bâtonnet Gram positif (autre qu'anaérobie): identification (séquençage);81010;Bâtonnet Gram positif (autre qu'anaérobie)  identification (séquençage);;Bâtonnets à gram positif;Pour de plus amples renseignements, veuillez vous référer au guide des services (https://www.inspq.qc.ca/lspq/repertoire-des-analyses).;Bactériologie;5 à 15 jours ouvrables;Souche - Culture;TAAN - Séquençage;Identification;Humain;ID;1-Routine;Justification requise si le site est non stérile pour les bâtonnets à Gram positif.;Catégorie B;
22;Baylisascaris procyonis: détection (anticorps);86023;Baylisascaris procyonis  détection (anticorps);;Baylisascaris;Pour de plus amples renseignements, veuillez vous référer au guide des services (https://www.inspq.qc.ca/lspq/repertoire-des-analyses).;Parasitologie;Délai du CNRP + 4 jours ouvrables;Sérum (1 ml) Entre 2 et 8°C si envoyé au LSPQ dans les 48 h. Sinon, conservés et transportés à -20°C.;Immunoblot;Baylisascaris procyonis - Détection d'anticorps;Humain;BAYL;Baylisascaris;Envoi au CNRP;Catégorie B;
;BK/JC polyomavirus: détection (TAAN) sur LCR, biopsie;;BK/JC polyomavirus détection (TAAN) sur LCR, biopsie;;;Pour de plus amples renseignements, veuillez vous référer au guide des services (https://www.inspq.qc.ca/lspq/repertoire-des-analyses).;Biologie moléculaire;Délai du LNM + 4 jours ouvrables;LCR (0,6 ml):  conservé congelé et expédié sur glace sèche. Biopsie fraîche: conservée congelée et expédiée sur glace sèche. Tissus fixés: conservés et expédiés à la température ambiante.;TAAN;Polyomavirus (JC / BK) - Recherche d'acides nucléiques;Humain;JCBK;Polyomavirus (JC / BK);Envoi au LNM;Catégorie B;
23;Bordetella pertussis: identification (phénotypie);81086;Bordetella pertussis  identification (phénotypie);;Coqueluche, bacille de Bordet-Gengou;Pour de plus amples renseignements, veuillez vous référer au guide des services (https://www.inspq.qc.ca/lspq/repertoire-des-analyses).;Bactériologie;10 à 15 jours ouvrables;Souche - Culture;MALDI-TOF et identification conventionnelle (tests biochimiques);Identification;Humain;BORD;7-Bordetella;N/A;Catégorie B;
25;Borrelia burgdorferi (Lyme): détection (ELISA IgG) sur liquide céphalo-rachidien (LCR);82021;Borrelia burgdorferi (Lyme) détection (ELISA IgG) sur liquide céphalo-rachidien (LCR);;Neuroborreliose, B. afzelii, B. garinii;Le LCR doit être accompagné d’un échantillon de sérum. SVP nous faire parvenir une requête par type d’échantillon (LCR et sérum) en sélectionnant l’analyse « Borrelia burgdorferi (Lyme): détection (ELISA IgG) sur liquide céphalo-rachidien (LCR) » pour les deux requêtes. Les valeurs absolues des taux d'albumine totale et d'IgG totaux doivent être inscrites dans le champ "Autres données pertinentes", à la fois pour le sérum et pour le LCR, de manière à ce que les calculs interprétatifs puissent être faits.;Sérologie;Délai du LNM (21 jours) + 4 jours ouvrables;"SVP nous faire parvenir une requête par type d'échantillon en sélectionnant l’analyse « Borrelia burgdorferi (Lyme): détection (ELISA IgG) sur liquide céphalo-rachidien (LCR) » pour les deux requêtes.

Sérum (0,5 ml) et LCR (0,5 ml) prélevés à moins de 24h d’intervalle. Entre 2 et 8°C si envoyés au LSPQ dans les 48 h. Sinon, conservés et transportés à -20°C.";EIA sur microplaque;Neuroborreliose - Détection d'anticorps;Humain;LYML;Borrelia burgdorferi LCR sérologie;Envoi au LNM;Catégorie B;
24;Borrelia burgdorferi (Lyme): détection et génotypage (TAAN) sur spécimen clinique;82022;Borrelia burgdorferi (Lyme) détection et génotypage (TAAN) sur spécimen clinique;;Lyme PCR, Maladie de Lyme, B. burgdorferi, B. garinii, B. afzelii, B. mayonii, B. spielmanii;Pour de plus amples renseignements, veuillez vous référer au guide des services (https://www.inspq.qc.ca/lspq/repertoire-des-analyses).;Sérologie;Délai du LNM (21 jours) + 4 jours ouvrables;Liquide synovial (0,5 ml), LCR (0,5 ml), tissu / biopsie (entre 1 et 5 mg), conservés et transportés à -20°C.;TAAN;Borrelia spp. - Recherche d'acides nucléiques;Humain;LYMP;Borrelia spp./ PCR;Envoi au LNM;Catégorie B;
26;Borrelia burgdorferi (maladie de Lyme acquise en Amérique du Nord): détection (ELISA IgM/IgG) sur sérum;82020;Borrelia burgdorferi (maladie de Lyme acquise en Amérique du Nord): détection (ELISA IgM/IgG) sur sérum;;Borrelia burgdorferi, borréliose, Lyme, maladie de Lyme, sensu lato, sensu stricto;Pour de plus amples renseignements, veuillez vous référer au guide des services (https://www.inspq.qc.ca/lspq/repertoire-des-analyses).;Sérologie;"Détection: 5 jours ouvrables (LSPQ)
Confirmation: Délai du LNM (21 jours) + 4 jours ouvrables";Sérum (1 ml) acheminé dans un tube conforme tel que décrit ici: (https://www.inspq.qc.ca/lspq/nouvelles/archives/201805). Les échantillons peuvent être conservés à 2-8 °C et expédiés dans un colis contenant des sachets de glace (icepacks) s’ils sont reçus au LSPQ moins de 7 jours après le prélèvement. Sinon, ils sont congelés et expédiés sur glace sèche. Éviter les cycles de congélation-décongélation.;EIA IgM/IgG;Lyme acquis en Amérique du Nord - Détection sérologique;Humain;LNA;Dépistage Lyme Nord Américain;Tous les sérums dont les résultats sont positifs ou indéterminés au test de détection sont acheminés au LNM pour une analyse de confirmation.;Catégorie B;
28;Borrelia garinii et Borrelia afzelii (maladie de Lyme acquise en Europe): détection (ELISA IgM/IgG) sur sérum;82023;Borrelia garinii et Borrelia afzelii (maladie de Lyme acquise en Europe): détection (ELISA IgM/IgG) sur sérum;;Borrelia afzelii, Borrelia burgdorferi, Borrelia garinii, borréliose, Lyme, maladie de Lyme, sensu lato;Pour de plus amples renseignements, veuillez vous référer au guide des services (https://www.inspq.qc.ca/lspq/repertoire-des-analyses).;Sérologie;"Détection: 5 jours ouvrables (LSPQ)
Confirmation: Délai du LNM (21 jours) + 4 jours ouvrables";Sérum (1 ml) acheminé dans un tube conforme tel que décrit ici: (https://www.inspq.qc.ca/lspq/nouvelles/archives/201805). Les échantillons peuvent être conservés à 2-8 °C et expédiés dans un colis contenant des sachets de glace (icepacks) s’ils sont reçus au LSPQ moins de 7 jours après le prélèvement. Sinon, ils sont congelés et expédiés sur glace sèche. Éviter les cycles de congélation-décongélation.;EIA IgM/IgG;Lyme acquis en Europe - Détection sérologique;Humain;LEU;Dépistage Lyme Européen;Tous les sérums dont les résultats sont positifs ou indéterminés au test de détection sont acheminés au LNM pour une analyse de confirmation.;Catégorie B;
27;Borrelia hermsii: détection (anticorps);82024;Borrelia hermsii  détection (anticorps);;B. hermsii, Fièvre récurrente à tique;Veuillez spécifier l'historique de voyage et les antécédents cliniques dans les champs "Pays visité" et "Autres données pertinentes".;Sérologie;Délai du LNM (30 jours) + 4 jours ouvrables;Sérum (0,5 ml) Entre 2 et 8°C si envoyé au LSPQ dans les 48 h. Sinon, conservés et transportés à -20°C.;IFA;Borrelia hermsii - Détection d'anticorps;Humain;BORH;Borrelia hermsii;Envoi au LNM;Catégorie B;
29;Borrelioses récurrentes: détection genre Borrelia dont B. hermsii et B. miyamotoi (TAAN);82025;Borrelioses récurrentes  détection genre Borrelia dont B. hermsii et B. miyamotoi (TAAN);;B. hermsii, B. miyamotoi;Pour de plus amples renseignements, veuillez vous référer au guide des services (https://www.inspq.qc.ca/lspq/repertoire-des-analyses).;Sérologie;Délai du LNM (21 jours) + 4 jours ouvrables;Sang total EDTA (5 ml). Réfrigérés, conservés et transportés entre 2 et 8°C.;TAAN;Borrelia miyamotoi - Recherche d'acides nucléiques;Humain;LYMP;Borrelia spp./ PCR;Envoi au LNM;Catégorie B;
30;Brucella spp.: détection (anticorps);82004;Brucella spp.  détection (anticorps);;Brucellose, B. abortus, B.  melitensis, B.suis;Veuillez fournir une justification clinique ou un sérum sériel. Pour de plus amples renseignements, veuillez vous référer au guide des services (https://www.inspq.qc.ca/lspq/repertoire-des-analyses/brucella-sp-anticorps).;Sérologie;10 à 15 jours ouvrables;Sérum (0,5 ml) ou 2 sérums prélevés à intervalle de 10 à 15 jours demandés sur 2 requêtes distinctes. Conservés entre 2 et 8°C si envoyé au LSPQ dans les 48 h. Sinon, conservés et transportés à -20°C.;Agglutination en tube;Brucella - Détection d'anticorps;Humain;BRU;Brucella (test standard);Fait au LSPQ.;Catégorie B;
31;Brucella spp.: détection (TAAN) sur spécimen primaire;82014;Brucella spp.  détection (TAAN) sur spécimen primaire;;Brucellose, B. abortus, B.  melitensis, B.suis;Pour de plus amples renseignements, veuillez vous référer au guide des services (https://www.inspq.qc.ca/lspq/repertoire-des-analyses).;Bactériologie;;Sang total (volume minimum requis 0,5 ml), Liquide céphalo-rachidien (LCR) (volume minimum requis 0,5 mL), tissu de biopsie ou colis suspect;"Identification conventionnelle (tests biochimiques)
et TAAN en temps réel";Identification;Humain;GR3;GR3;N/A;Catégorie B;
32;Brucella spp.: identification (TAAN, bactériophage) sur culture *GR3*;82003;Brucella spp.  identification (TAAN, bactériophage) sur culture *GR3*;GR3;Brucellose, B. abortus, B.  melitensis, B.suis;Pour de plus amples renseignements, veuillez vous référer au guide des services (https://www.inspq.qc.ca/lspq/repertoire-des-analyses).;Bactériologie;2 à 10 jours ouvrables;Souche - Culture;"Identification conventionnelle (tests biochimiques)
et TAAN en temps réel";Identification;Humain;GR3;GR3;N/A;Catégorie A;
33;Brugia malayi (filariose): détection (anticorps);86060;Brugia malayi (filariose)  détection (anticorps);;Microfilaire, Wurcheria bancrofti, Filaria, Brugia malayi, Loa loa, Onchocerca volvulus;Pour de plus amples renseignements, veuillez vous référer au guide des services (https://www.inspq.qc.ca/lspq/repertoire-des-analyses).;Parasitologie;Délai du CNRP + 4 jours ouvrables;Sérum (1 ml) Entre 2 et 8°C si envoyé au LSPQ dans les 48 h. Sinon, conservés et transportés à -20°C.;EIA;Filariose - Détection d'anticorps;Humain;FILA;Filariose;Envoi au CNRP;Catégorie B;
34;Burkholderia pseudomallei: détection (TAAN) sur spécimen primaire;82005;Burkholderia pseudomallei  détection (TAAN) sur spécimen primaire;;Burkholderia pseudomallei;Pour de plus amples renseignements, veuillez vous référer au guide des services (https://www.inspq.qc.ca/lspq/repertoire-des-analyses).;Bactériologie;;Sang total (volume minimum requis 0,5 ml), Liquide céphalo-rachidien (LCR) (volume minimum requis 0,5 mL) ou tissu de biopsie;TAAN, tests biochimiques;Identification;Humain;GR3;GR3;N/A;Catégorie B;
35;Burkholderia pseudomallei: identification (séquençage) sur culture *GR3*;82006;Burkholderia pseudomallei  identification (séquençage) sur culture *GR3*;GR3;Mélioïdose;Pour de plus amples renseignements, veuillez vous référer au guide des services (https://www.inspq.qc.ca/lspq/repertoire-des-analyses).;Bactériologie;2 à 5 jours ouvrables;Souche - Culture;TAAN, tests biochimiques;Identification;Humain;GR3;GR3;N/A;Catégorie A;
36;Cache Valley: détection (anticorps);83012;Cache Valley  détection (anticorps);;Cache Valley (anticorps);Il ne s'agit pas d'un test de routine du LNM. Avant d'expédier les spécimens, veuillez communiquer avec le LNM.;Sérologie;Délai du LNM (21 jours) + 6 jours ouvrables;Sérum (0,5mL) Réfrigérés, conservés et transportés entre 2 et 8°C.;PRNT;Cache Valley - PRNT;Humain;CVAL;Cache Valley;Envoi au LNM.;Catégorie B;
37;Campylobacter spp.: confirmation (spectrométrie de masse - MALDI-TOF, séquençage);81030;Campylobacter spp.  confirmation (spectrométrie de masse - MALDI-TOF, séquençage);;Campylobacter (identification);Pour de plus amples renseignements, veuillez vous référer au guide des services (https://www.inspq.qc.ca/lspq/repertoire-des-analyses).;Bactériologie;5 à 15 jours ouvrables;Souche - Culture;Maldi-Tof ou TAAN - séquençage;Identification;Humain;CAMP;4-Campylobacter;N/A;Catégorie B;
39;Champignons dimorphes: identification (TAAN, microscopie) sur colonie  *GR3*;87031;Champignons dimorphes  identification (TAAN, microscopie) sur colonie  *GR3*;GR3;Blastomyces dermatitidis  Coccidioides immitis/posadasii  Histoplasma capsulatum  Blastomyces  Cladophialophora bantiana  Paracoccidioides brasiliensis;Pour de plus amples renseignements, veuillez vous référer au guide des services (https://www.inspq.qc.ca/lspq/repertoire-des-analyses).;Mycologie;2 à 5 jours ouvrables;Souche - Culture;Microscopie, identification conventionnelle (tests biochimiques) et TAAN;Identification;Humain;DIM;3. Mycologie - Dimorphes;"Important: préciser qu’il s’agit d’un champignon dimorphe du groupe de risque 3 (Blastomyces dermatitidis, Coccidioides sp., Histoplasma capsulatum. Cladophialophora bantiana, Paracoccidiodes brasiliensis).

Indiquer si le patient est immunosupprimé et, lorsque disponibles la date d’apparition des symptômes, les voyages récents en zone endémique. De plus, indiquer si une croissance a été obtenue à 37 °C ou sur un milieu contenant du cycloheximide (Mycosel ou Mycobiotic) dans le cas où ces tests ont été effectués.";"Catégorie A (Coccidioides)
Catégorie B (autres)";
40;Champignons filamenteux: antifongigramme (microdilution en bouillon);87021;Champignons filamenteux  antifongigramme (microdilution en bouillon);;"Antifongigramme
Antifungigramme
Amphotéricine B
Anidulafungine
Micafungine
Caspofungine
Itraconazole
Voriconazole
Posaconazole
Fluconazole
5FC, Fluorocytosine, Flucytosine";Pour de plus amples renseignements, veuillez vous référer au guide des services (https://www.inspq.qc.ca/lspq/repertoire-des-analyses).;Mycologie;3 à 7 jours ouvrables;Souche - culture;CMI - microdilution (M27 et M38 CLSI);Antifongigramme;Humain;CMIS;CMI Sensititre;N/A;Catégorie B;
41;Champignons filamenteux: identification (microscopie, séquençage);87020;Champignons filamenteux identification (microscopie, séquençage);;"Absidia
Acremonium
Alternaria
Aspergillose
Aspergillus spp.
Curvularia
Exophiala
Exserohilum
Fusarium
Lichtheimia
Mucor
Rhizomucor
Rhizopus
Scedosporium
Mycose
Neoscytalidium
Paecilomyces
Phialophora
Penicillium
Zygomycètes
Mucormycètes
Mucorales ";Préciser s'il est possible qu'il s'agisse d'un champignon dimorphe du groupe de risque 3 dans le champ "Autres données pertinentes".;Mycologie;2 à 14 jours ouvrables;Souche - Culture;Microscopie et identification conventionnelle (tests biochimiques), TAAN - séquençage;Identification;Humain;MY;1. Mycologie;N/A;Catégorie B;
42;Champignons filamenteux: investigation d'éclosion (typage);87022;Champignons filamenteux  investigation d'éclosion (typage);;"Absidia
Acremonium
Alternaria
Aspergillose
Aspergillus spp.
Curvularia
Exophiala
Exserohilum
Fusarium
Lichtheimia
Mucor
Rhizomucor
Rhizopus
Scedosporium
Mycose
Neoscytalidium
Paecilomyces
Phialophora
Penicillium
Zygomycètes
Mucormycètes
Mucorales
Éclosion";Pour de plus amples renseignements, veuillez vous référer au guide des services (https://www.inspq.qc.ca/lspq/repertoire-des-analyses).;Mycologie;2 à 14 jours ouvrables;Souche - culture;Identification;Identification;Humain;MY;1. Mycologie;N/A;Catégorie B;
43;Chikungunya: détection (ELISA IgM) sur sérum;83007;Chikungunya détection (ELISA IgM) sur sérum;;Chik;Veuillez fournir l'historique de voyage et les symptômes dans les champs "Pays visité" et "Autres données pertinentes".;Sérologie;10 jours ouvrables;Sérum (0,5mL) Conservés entre 2 et 8°C si envoyé au LSPQ dans les 48 h. Sinon, conservés et transportés à -20°C.;EIA IgM;Chikungunya - Détection d'anticorps;Humain;CHIK;Chikungunya IgM;Fait au LSPQ;Catégorie B;
