Centre de santé Chibougamau;51, 3e Rue;418-748-6435;14187484175;14187484175;Responsable;Centre de santé Chibougamau;CRSBJ;CSCHIBOU;FAX;|
Centre de santé Inuulitsivik;Chemin Baie d'Hudson, Nunavik;1-819-988-2957 poste 262;18199882611;18199882611;Responsable/Ghislain Crete;Centre de santé Inuulitsivik;CSINUU;CSINUULIT;FAX;|
Centre de santé Isle-Dieu;130, boul. Matagami;;Courrier postal;;Responsable;Centre de santé Isle-Dieu;CRSBJ;CSIDIEU;MAIL;|
Centre de santé Lebel;950, boul. Quevillon Nord, C.P. 5000;1-819-755-4881 poste 219;18197553663;18197553663;Responsable/M. Alexandre Madarnas;Centre de santé Lebel;CRSBJ;CSLEBEL;FAX;|
Centre de santé Radisson;199, rue Jolliet, ;;Courrier postal;;Responsable;Centre de santé Radisson;CRSBJ;CSRADIS;MAIL;|
Centre de santé Tulattavik de l'Ungava;C.P. 149, Nunavik;1-819-964-2905;18199640495;18199640495;Responsable/Serge Doiron;Centre de santé Tulattavik de l'Ungava;CSTU;CSTUNGAVA;FAX;|
Centre de santé Valcartier / Laboratoire;USS Valcartier, édifice 109, C.P.1000, Succ. Forces;1-418-844-5000 poste  5789;14188447217;14188447217;Responsable/Mme Dupaul, Diane;Centre de santé Valcartier / Laboratoire;BFC;LBCSVQ;FAX;|
Centre de services Avallin-Dalcourt;450, 2e Rue;1-819-228-9486;18192281820;18192281820;Responsable/Guylaine Beland;Centre de services Avallin-Dalcourt;CIMCQ;PSADALC;FAX;|
Centre de services de Nicolet (Multi. SSS C.-Roi);675, rue Saint-Jean-Baptiste;1-819-293-2071 poste 52266;18192932916;18192932916;Responsable/Josette Drouin;Centre de services de Nicolet (Multi. SSS C.-Roi);CIMCQ;PSNICOL;FAX;|
Centre de services de Rivière-Rouge;1525, rue L'Annonciation Nord;1-819-275-2118;18192751452;18192751452;Responsable/Dr Sylvain Gelinas;Centre de services de Rivière-Rouge;CILAU;PSRROUGE;FAX;|
Centre de soins de courte durée La Sarre (CSCD);679, 2e Rue Est, C.P. 6000;1-819-333-2311 poste 2315;18193336297;18193336297;Responsable/Karine Morin;Centre de soins de courte durée La Sarre (CSCD);CIAT;CHCDLASAR;FAX;|
Centre de Spécialiste West Island;3400, rue du Marché;;Courrier postal;;Responsable;Centre de Spécialiste West Island;CSWISL;CSWISL1;MAIL;|
Centre de SSS D'Arthabaska-et-de-l'érable - Hôtel-Dieu;5, rue des Hospitalières;1-819-357-2030;18193576022;18193576022;Responsable/Lise-Andrée Galarneau;Centre de SSS D'Arthabaska-et-de-l'érable - Hôtel-Dieu;CIMCQ;C3AEHD;FAX;|
Centre de SSS D'Arthabraska-et-de-l'érable ;220, rue Principale, C.P. 250;;Courrier postal;;Responsable;Centre de SSS D'Arthabraska-et-de-l'érable ;CIMCQ;C3AEH;MAIL;|
Centre de SSS de la Haute-Yamaska;205 Boulevard Leclerc Ouest;1-450-375-8000;14503758040;14503758040;Responsable;Centre de SSS de la Haute-Yamaska;CIECHUS;C3HYAM;FAX;|
Centre de SSS de la MRC-de-Coaticook (P.S.);138, rue Jeanne-Mance;1-819-849-9102 poste 1442;18198497044;18198497044;Responsable/Julie Bourque;Centre de SSS de la MRC-de-Coaticook (P.S.);CIECHUS;C3MCOATI;FAX;|
Centre de SSS de la région de Thetford;1717, rue Notre-Dame E;1-418-338-7777;14183387760;14183387760;Responsable/Labo. Microbiologie;Centre de SSS de la région de Thetford;CICA;C3RTM;FAX;|
Centre de SSS de Memphrémagog;50, rue Saint-Patrice Est;1-819-843-3381 poste 2036;18198683244;18198683244;Responsable/Chantal Descent;Centre de SSS de Memphrémagog;CIECHUS;CEMEMPH;FAX;|
Centre de SSS de Trois-Rivières;1991 boul. du  Carmel;1-819-697-3333;18196944113;18196944113;Responsable/André Poirier;Centre de SSS de Trois-Rivières;CIMCQ;C3TR;FAX;|
Centre de SSS du Granit (P.S.);3569, rue Laval;1-819-583-0330 poste 366;18195836209;18195836209;Responsable/Diane St-Pierre;Centre de SSS du Granit (P.S.);CIECHUS;C3GRANIT;FAX;|
Centre de SSS du Haut-Saint-Maurice;885, boul. Ducharme;1-819-523-4581 poste 2007;18195235315;18195235315;Responsable/Luce Fontaine;Centre de SSS du Haut-Saint-Maurice;CIMCQ;C3HSMAUR;FAX;|
Centre de SSS La Pommeraie;950, rue Principale;1-450-266-4342 poste 55543;14502633596;14502633596;Responsable;Centre de SSS La Pommeraie;CIECHUS;C3LAPOMM;FAX;|
Centre d'expertise en analyse environnementale du Québec;2700, rue Einstein, bureau E-2-220;418 643-1301;Courrier postal;;Responsable;Centre d'expertise en analyse environnementale du Québec;MSSSL;CEAEQQ;MAIL;|
Centre d'hébergement Champlain Jean-Louis-Lapierre;199, rue Saint-Pierre;;Courrier postal;;Responsable;Centre d'hébergement Champlain Jean-Louis-Lapierre;CEGCHAM;CEJLLAPIE;MAIL;|
Centre d'Hébergement Cooke;3450, rue Sainte-Marguerite;;Courrier postal;;Responsable;Centre d'Hébergement Cooke;CIMCQ;CECOOKE;MAIL;|
Centre d'hébergement de Rivière-Bleue;45, rue du Foyer Sud ;;Courrier postal;;Responsable;Centre d'hébergement de Rivière-Bleue;CIBSL;CERBLEUE;MAIL;|
Centre d'Hébergement des Quatre-Saisons;6767, rue Cartier;;Courrier postal;;Responsable;Centre d'Hébergement des Quatre-Saisons;CIEIM;LDQSAI;MAIL;|
Centre d'Hébergement des Quatre-Temps;7400, boul. Saint-Michel;514-490-2429 poste 2186;5144902403;5144902403;Responsable/Mme France Robitaille (Pharmacie);Centre d'Hébergement des Quatre-Temps;CIEIM;CEQTEMPS;FAX;|
Centre d'Hébergement Eloria-Lepage;3090 av. de la pépinière;5142521710;Courrier postal;;Responsable;Centre d'Hébergement Eloria-Lepage;CIEIM;CEELEPAG;MAIL;|
Centre d'Hébergement Émilie-Gamelin;1440, rue Dufresne ;;Courrier postal;;Responsable;Centre d'Hébergement Émilie-Gamelin;CICEIM;CEEGAMEL;MAIL;|
Centre d'Hébergement Laflèche;1650, 6e Avenue;;Courrier postal;;Responsable;Centre d'Hébergement Laflèche;CIMCQ;CELAFLE;MAIL;|
Centre d'Hébergement Mgr-Ross de Gaspé;150, rue Monseigneur-Ross;;Courrier postal;;Responsable;Centre d'Hébergement Mgr-Ross de Gaspé;CIG;CEMROSS;MAIL;|
Centre d'Hébergement Notre-Dame-de-la-Merci;555, boul. Gouin Ouest;;Courrier postal;;Responsable;Centre d'Hébergement Notre-Dame-de-la-Merci;CINIM;CENDMERCI;MAIL;|
Centre d'Hébergement Saint-Michel;3130, rue Jarry Est;;Courrier postal;;Responsable;Centre d'Hébergement Saint-Michel;CIEIM;CESMICHEL;MAIL;|
Centre d'Hébergement Saint-Vincent;300, rue King Est;;Courrier postal;;Responsable;Centre d'Hébergement Saint-Vincent;C3IUGS;CESVINC;MAIL;|
Centre d'hébergement Vicenzo-Navarro;7705, rue Lespinay ;;Courrier postal;;Responsable;Centre d'hébergement Vicenzo-Navarro;CEVNAV;CEVNAV1;MAIL;|
Centre Dollard Cormier (Prince-Arthur);110, rue Prince-Arthur Ouest;;Courrier postal;;Responsable;Centre Dollard Cormier (Prince-Arthur);CICEIM;CRDCORPA;MAIL;|
Centre d'urgence Salaberry;2758, rue de Salaberry;514-337-4772;Courrier postal;;Responsable;Centre d'urgence Salaberry;CUSAL;CUSAL1;MAIL;|
Centre hospitalier Anna-Laberge;200, boul. Brisebois;450-699-2425 poste 4267;4506994393;4506994393;Responsable/Julie Page;Centre hospitalier Anna-Laberge;CIMO;CHALABER;FAX;|
Centre hospitalier de St-Mary;3830, avenue Lacombe;;5147342634;5147342634;Responsable/Joe Dylewski;Centre hospitalier de St-Mary;CIOIM;HOSM1;FAX;|
Centre hospitalier de St-Mary / Groupe de médecine familiale;3777 rue Jean-Brillant;5147342677;Courrier postal;;Responsable;Centre hospitalier de St-Mary / Groupe de médecine familiale;CIOIM;HOSM;MAIL;|
Centre hospitalier Kateri Memorial Tehsakotitsen:Tha;C.P. 10 ;;Courrier postal;;Responsable;Centre hospitalier Kateri Memorial Tehsakotitsen:Tha;CHCMK;CHKATERIM;MAIL;|
Centre Hospitalier Pierre-Janet;20, rue Pharand;;Courrier postal;;Responsable;Centre Hospitalier Pierre-Janet;CIO;CHPJANET;MAIL;|
Centre Hospitalier Régional de Lanaudière;1000, boul. Sainte-Anne;1-450-759-8222 poste 2673;14507593075;14507593075;Responsable;Centre Hospitalier Régional de Lanaudière;CILAN;CHRDLANAU;FAX;|
Centre hospitalier régional du Grand Portage;75  rue Saint-Henri;14188681010 poste 2231;14188680759;14188680759;Responsable/Kathleen Dumont;Centre hospitalier régional du Grand Portage;CIBSL;CHGPRL;FAX;|
Centre hospitalier Trois-Pistoles;550, rue Notre-Dame Est;1-418-851-3700 poste 125;14188512944;14188512944;Responsable/André Thériault;Centre hospitalier Trois-Pistoles;CIBSL;CHTPIST;FAX;|
Centre médical de Beauport;737, avenue Royal;1-418-667-4328;14186675843;14186675843;Responsable/Dr. Lefrancois;Centre médical de Beauport;GMFBEAU;GMFBEAU1;FAX;|
Centre médical de la Vallée;22, rue du Pont, bureau 1;1-418-629-6611;14186294484;14186294484;Responsable/Nadia D'Amours;Centre médical de la Vallée;GMFMAT;GMFMAT1;FAX;|
Centre médical de Sillery;1270, rue William;;Courrier postal;;Responsable;Centre médical de Sillery;GMFSIL;GMFSIL1;MAIL;|
Centre médical Halles de Sainte-Foy;2500 chemin des Quatres-Bourgeois;14186523642;Courrier postal;;Responsable;Centre médical Halles de Sainte-Foy;CMCHSF;CMCHSF1;MAIL;|
Centre médical Laval;1110, boul. Vanier;1-450-661-2521;14506617193;14506617193;Responsable/Ghislaine Bilodeau;Centre médical Laval;GMFLAV;GMFLAV1;FAX;|
Centre médical Médicentre Pincourt;88, 5e Avenue;514 425-1000;Courrier postal;;Responsable;Centre médical Médicentre Pincourt;GMFMPIN;GMFMPIN1;MAIL;|
Centre médical Métro Monk;2376, rue Allard;514 769-9999;Courrier postal;;Responsable;Centre médical Métro Monk;GMFMMONK;GMFMMONK1;MAIL;|
Centre médical pour Enfants Lasalle;1791, avenue Dollard;514-368-0444;5143680445;5143680445;Responsable/Dr Urbanski;Centre médical pour Enfants Lasalle;CMELAS;CMELAS1;FAX;|
Centre médical Robinson;4, rue Robinson Nord;1-450-378-8435;14503758832;14503758832;Responsable/Dr. Didier Fay;Centre médical Robinson;GMFROB;GMFROB1;FAX;|
Centre médical Westmount;5025 rue Sherbrooke Ouest ;514-488-9888;Courrier postal;;Responsable/Dre Anne-Marie Gravel;Centre médical Westmount;CMWEST;CMWEST1;MAIL;|
Centre multiservice en SSS de Fortierville;216 rue Principale;;18192932916;18192932916;Responsable/Josette Drouin;Centre multiservice en SSS de Fortierville;CIMCQ;C3FORTI;FAX;|
Centre national de référence en mycobactériologie;1015 Arlington  Street Rm H3520;204 789-6990;Courrier postal;;Responsable;Centre national de référence en mycobactériologie;CSCSHA;CSCSHACNRM;MAIL;|
Centre Paul-Gilbert - Centre d'Hébergement de Charny;9330, boul. du Centre-Hospitalier;1-418-832-1721 poste 6846;14188327645;14188327645;Responsable/Mme Josée Otis;Centre Paul-Gilbert - Centre d'Hébergement de Charny;CICA;CHCEPGILB;FAX;|
Centre québécois d'innovation en biotechnologies;500, boul. Cartier Ouest;;Courrier postal;;Responsable;Centre québécois d'innovation en biotechnologies;LPCQIBIO;LPCQIBIO1;MAIL;|
Centre régional de réception;246, Montée Gagnon;450 478-5977;Courrier postal;450 478-5899;Responsable;Centre régional de réception;SCC;CRR;MAIL;|
Centre scientifique canadien santé humaine et animale;1015 Arlington Street;;Courrier postal;;Resposnable;Centre scientifique canadien santé humaine et animale;CSCSHA;CSCSHALNEP1;MAIL;|
Centre scientifique canadien santé humaine et animale;1015 Arlington Street  Rm A1010;;Courrier postal;;Responsable;Centre scientifique canadien santé humaine et animale;CSCSHA;CSCSHALNM;MAIL;|
Centre scientifique canadien santé humaine et animale;1015 arlington Street Rm H3150;204 789-2133;Courrier postal;;Responsable;Centre scientifique canadien santé humaine et animale;CSCSHA;CSCSHAIN;MAIL;|
Centre scientifique canadien santé humaine et animale;National Microbiology Laboratory;;Courrier postal;;Responsable;Centre scientifique canadien santé humaine et animale;CSCSHA;CSCSHALNM1;MAIL;|
Childrens Hospital of Eastern Ontario;401 Smyth Road;;Courrier postal;;Responsable;Childrens Hospital of Eastern Ontario;HOCEO;HOCEO1;MAIL;|
CHSLD Bourget;11570, rue Notre-Dame Est;;Courrier postal;;Responsable;CHSLD Bourget;LDBOURG;LDBOURG1;MAIL;|
CHSLD Providence Notre-Dame de Lourdes;1870, boulevard Pie-IX;;Courrier postal;;Responsable;CHSLD Providence Notre-Dame de Lourdes;LDPNDL;LDPNDLOUR;MAIL;|
CHSLD Saint-Jude;4410, boul. Saint-Martin Ouest;;Courrier postal;;Responsable;CHSLD Saint-Jude;LDA3I;LDSJUDE;MAIL;|
CHSLD Vigi Mont-Royal;275, avenue Brittany;514 739-5593;Courrier postal;514 733-7973;Responsable;CHSLD Vigi Mont-Royal;VSLT;LDVMR;MAIL;|
CHU Dr-Georges-L.-Dumont;330, avenue Université;1-506-862-4699;15068624827;15068624827;Responsable/Dr Louise Thibault;CHU Dr-Georges-L.-Dumont;CUGLD;CUGLD1;FAX;|
CHU Sainte-Justine;3175, ch. de la Côte-Sainte-Catherine;514-345-4642;5143454818;5143454818;Responsable Micro/Immuno/Mélanie Lafleur;CHU Sainte-Justine;CUSJ;CUSJUSG;FAX;|
CHUL-LABO MULTI / MICRO;2705, boul. Laurier  Local F-0409;;14186542147;14186542147;Responsable/Hélène Senay;CHUL-LABO MULTI / MICRO;CUQUL;CUQULLAB;FAX;|
CHUM - Biochimie (regroupés) -Secteur envois - Hôpital Saint-Luc;1051 rue Sanguinet;514-890-8000 poste 20911;5144127336;5144127336;Responsable/Sandra Sorella;CHUM - Biochimie (regroupés) -Secteur envois - Hôpital Saint-Luc;CUMONT;HOSLUCS;FAX;|
CHUM - Biologie moléculaire - Hôpital Saint-Luc;1051 rue Sanguinet;514-890-8000 poste 20911;5144127470;5144127470;Responsable/Sandra Sorella;CHUM - Biologie moléculaire - Hôpital Saint-Luc;CUMONT;HOSLUCBIO;FAX;|
CHUM - Microbiologie - Hôpital Saint-Luc;1051 rue Sanguinet;514-890-8000 poste 20911;5144127311;5144127311;Responsable/Sandra Sorella;CHUM - Microbiologie - Hôpital Saint-Luc;CUMONT;HOSLUC;FAX;|
CHUM - Pathologie - Hopital St-Luc;1100 rue Sanguinet (F07);514-890-8000;5144127396;5144127396;Responsable/Marie-Claude Guenette ;CHUM - Pathologie - Hopital St-Luc;CUMONT;HOSLUCPATH;FAX;|
CIRION BioPharma Recherche inc.;3150, rue Delaunay;1-450-682-2231 poste 226;14506887813;14506887813;Responsable/Sonia F. Panella;CIRION BioPharma Recherche inc.;LPCIRI;LPCIRI1;FAX;|
CISSSCA-Beauce (Hôpital de Saint-Georges);1515, 17e Rue;1-418-228-2031 poste 37256;14182279453;14182279453;Responsable/Anne Tardif;CISSSCA-Beauce (Hôpital de Saint-Georges);CICA;HOSGEORG;FAX;|
Clinique A rue Mc Gill;407 , rue Mc Gill , Bureau 900;5147870055;5147870066;5147870066;Responsable/Dr Marc Steben;Clinique A rue Mc Gill;LMCAMCGILL;LMCAMCGILL1;FAX;|
Clinique Caméléon;1851 rue Sherbrooke Est;5145085366;Courrier postal;;Responsable;Clinique Caméléon;CMCAM;CMCAM1;MAIL;|
Clinique de fertilité OVO;8000, boul. Décarie, bureau 100;514-798-2000;5149040840;5149040840;Responsable/Cecile Le Saint;Clinique de fertilité OVO;CFOVO;CFOVO1;FAX;|
Clinique de médecine familiale de Hull;15, boul. Montclair, bureau 202;1-819-777-2752;18197772269;18197772269;Responsable/Dr. Richard Pilon;Clinique de médecine familiale de Hull;GMFOUT;GMFOUT1;FAX;|
Clinique de Neuro-Outaouais;147 Blvd, d'Europe;1-819-777-2502 poste 252;18197772502;18197772502;Responsable/Nathalie Dumais;Clinique de Neuro-Outaouais;CMNOUT;CMNOUT1;FAX;|
Clinique de santé de la Haute-Gatineau;30 rue Principale;819-463-0100;Courrier postal;;Responsable;Clinique de santé de la Haute-Gatineau;CMSHGAT;CMSHGAT1;MAIL;|
Clinique de santé de Thetford;926, rue Labbé;;Courrier postal;;Responsable;Clinique de santé de Thetford;GMFTHET;GMFTHET1;MAIL;|
Clinique de Santé Jeunesse;14770 boul. Pierrefonds ;;Courrier postal;;Responsable;Clinique de Santé Jeunesse;CMSJEU;CMSJEU1;MAIL;|
Clinique dermatologique de Lachenaie;950, montée des Pionniers, bureau 345;;Courrier postal;;Responsable;Clinique dermatologique de Lachenaie;CDLACH;CDLACH1;MAIL;|
Clinique Dr Jean Valiquette;889, boul. Grignon Bureau 116;;Courrier postal;;Responsable;Clinique Dr Jean Valiquette;CDJVAL;CDJVAL1;MAIL;|
Clinique Dr. Anthony Hubert Dowell;50 boul Saint-Charles;5146946446;Courrier postal;;Responsable;Clinique Dr. Anthony Hubert Dowell;CMDAHD;CMDAHD1;MAIL;|
Clinique Dr. D.J. Irwin;175, avenue Stillview;5146977980;Courrier postal;;Responsable;Clinique Dr. D.J. Irwin;CMDDJI;CMDDJI1;MAIL;|
Clinique du ronflement;755, boul. Saint-Jean;5146307839;Courrier postal;;Responsable;Clinique du ronflement;CRONF;CRONF1;MAIL;|
Clinique d'Urgence Pincourt;430, boul Don-Quichotte;5144530884;Courrier postal;;Responsable;Clinique d'Urgence Pincourt;CMUPIN;CMUPIN1;MAIL;|
Clinique Enfant-Médic;3221 boul. des Sources;5146850880;Courrier postal;;Responsable;Clinique Enfant-Médic;CMEMED;CMEMED1;MAIL;|
Clinique Médic Elle;1980 rue Sherbrooke Ouest;514-788-2888;5147883939;5147883939;Responsable/Peter Robitaille;Clinique Médic Elle;CMELLE;CMELLE1;FAX;|
Clinique médicale Ahuntsic;241, rue Fleury Ouest;;Courrier postal;;Responsable;Clinique médicale Ahuntsic;GMFAHU;GMFAHU1;MAIL;|
Clinique médicale Alpha Médic Centre-Ville Montréal Inc.;1253 rue Guy;5149338383;Courrier postal;;Responsable;Clinique médicale Alpha Médic Centre-Ville Montréal Inc.;CMAMCVM;CMAMCVM1;MAIL;|
Clinique médicale Bromont;89, boul. de Bromont;;Courrier postal;;Responsable;Clinique médicale Bromont;GMFWB;GMFWB1;MAIL;|
Clinique médicale Cadillac;3435, rue Bossuet;514-253-1211;Courrier postal;;Responsable;Clinique médicale Cadillac;GMFCAD;GMFCAD1;MAIL;|
Clinique médicale Côte-des-Neiges;5450, chemin de la Côte-des-Neiges,bureau 210;514 731-3249;Courrier postal;;Responsable;Clinique médicale Côte-des-Neiges;CMMM;CMCDN;MAIL;|
Clinique médicale d'Alma;935, avenue du Pont Sud;1-418-668-6121;14186685298;14186685298;Responsable/Johanne Ouellette;Clinique médicale d'Alma;GMFALM;GMFALM1;FAX;|
Clinique médicale de Grand-Mère;799, Ave. de Grand-Mère;819 533-5783;Courrier postal;;Responsable;Clinique médicale de Grand-Mère;GMFGM;GMFGM1;MAIL;|
Clinique médicale de l'Alternative;2034 rue Saint-Hubert;5142819848;Courrier postal;;Responsable;Clinique médicale de l'Alternative;CMALT;CMALT1;MAIL;|
Clinique médicale de l'Université Laval;Université Laval, pavillon Pollack;418 656-2943;Courrier postal;;Responsable;Clinique médicale de l'Université Laval;UL;CMUL;MAIL;|
Clinique Médicale de Mont-Joli;1385, boul. Gaboury;418 775-5353;Courrier postal;;Responsable;Clinique Médicale de Mont-Joli;GMFMIT;GMFMIT1;MAIL;|
Clinique médicale des Trois Lacs;585, avenue Saint-Charles;;Courrier postal;;Responsable;Clinique médicale des Trois Lacs;GMFTLAC;GMFTLAC1;MAIL;|
Clinique médicale En Route;895, rue de la Gauchetière Ouest;5149541444;Courrier postal;;Responsable;Clinique médicale En Route;CMEROU;CMEROU1;MAIL;|
Clinique médicale Hâvre-Santé;521, boul. du Havre;1-450-371-6444;14503715315;14503715315;Responsable/Marlène Labrecque;Clinique médicale Hâvre-Santé;GMFLSF;GMFLSF1;FAX;|
Clinique médicale l'Actuel;1001, boul. de Maisonneuve Est;514 524-1001;5145243831;5145243831;Responsable/Mme. Le Thi Luyen;Clinique médicale l'Actuel;CMACT;CMACT1;FAX;|
Clinique médicale le Campanile;3730, rue du Campanile;;Courrier postal;;Responsable;Clinique médicale le Campanile;GMFCAM;GMFCAM1;MAIL;|
Clinique médicale le Plein Ciel;475, boul. Côte-Vertu;;Courrier postal;;Responsable;Clinique médicale le Plein Ciel;GMFCSLAU;CMLPCIEL;MAIL;|
Clinique médicale Le Royer (Alpha);240, rue Saint-Jacques;5149312021;Courrier postal;;Responsable;Clinique médicale Le Royer (Alpha);CMLRA;CMLRA1;MAIL;|
Clinique médicale L'envolée;5025, Salaberry;514 331-2323;Courrier postal;5143338534;Responsable;Clinique médicale L'envolée;GMFLENV;GMFLENV1;MAIL;|
Clinique médicale Les Grès;190, St-Honoré, bureau 104;819 535-6512;Courrier postal;;Responsable;Clinique médicale Les Grès;GMFGRES;GMFGRES1;MAIL;|
Clinique médicale Métro Saint-Michel;7281, boul. Shaughnessy;;Courrier postal;;Responsable;Clinique médicale Métro Saint-Michel;CMMS;CMMS1;MAIL;|
Clinique médicale Papineau inc.;6930 rue Papineau;5147220000;Courrier postal;5143355515;Responsable;Clinique médicale Papineau inc.;CMPAPI;CMPAPI1;MAIL;|
Clinique médicale Pierre Bertrand;303, boul. Pierre-Bertrand;418 683-2724;Courrier postal;;Responsable;Clinique médicale Pierre Bertrand;GMFPBER;GMFPBER1;MAIL;|
Clinique médicale Place Ville-Marie;1, Place Ville-Marie;5143971370;Courrier postal;;Responsable;Clinique médicale Place Ville-Marie;CMPVM;CMPVM1;MAIL;|
Clinique médicale Plateau Marquette;731, rue Galt Ouest, bureau 200;;Courrier postal;;Responsable;Clinique médicale Plateau Marquette;GMFPMAR;GMFPMAR1;MAIL;|
